date,time,client_name,message
2026-01-24,15:46:58,roman,hi
2026-01-24,15:47:05,roman,hello
2026-01-24,15:52:41,roman,hi
2026-01-24,15:52:49,alex,hello
2026-01-24,15:56:36,alex,hello
2026-01-24,15:56:42,roman,hi
2026-01-24,15:56:51,alex,where are you
2026-01-24,15:56:57,alex,i am here
2026-01-24,15:57:08,roman,hey
2026-01-24,16:10:37,alex,hi
2026-01-24,16:10:45,roman,hello
2026-01-24,16:11:05,roman,hey
2026-01-24,16:11:16,alex,hi
2026-01-24,16:14:12,roman,hi alex
2026-01-24,16:14:25,alex,hello
2026-01-24,16:15:07,marina,hi maya
2026-01-24,16:15:18,maya,hey
2026-01-24,16:15:32,roman,how are you
2026-01-24,16:16:20,kelly,hi
2026-01-24,16:17:19,marina,why
2026-01-24,16:18:50,maya,hi
2026-01-24,16:19:10,roman,hello
2026-01-24,16:19:42,marina,hi
2026-01-24,16:19:53,kelly,i am here
2026-01-24,16:19:59,kelly,hi maya
2026-01-24,16:21:54,maya,hello
2026-01-24,16:25:15,roman,hello
2026-01-24,16:26:34,roman,hi maya
2026-01-24,16:34:28,maya,hi
2026-01-24,16:37:44,alex,hi roman
2026-01-24,16:47:24,roman,hi
2026-01-24,17:29:18,alex,hi
2026-01-24,17:29:34,roman,hello
2026-01-24,17:31:28,alex,hi
2026-01-24,17:31:45,roman,hey
2026-01-24,17:33:58,roman,hey
2026-01-24,17:34:30,alex,hello
